Force      Sigma1       Sigma2      Eps1        Eps2        U       RF1     RF2
0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0
0.6000600060006 0.026534848985286425 -0.014896757325073081 2.2112374154405355e-07 -1.24139644375609e-07 7.075959729409714e-06 0.4510924327498692 -0.14896757325073082
1.2001200120012 0.05306969797057285 -0.029793514650146163 4.422474830881071e-07 -2.48279288751218e-07 1.4151919458819427e-05 0.9021848654997384 -0.29793514650146163
1.8001800180018002 0.07960454695585928 -0.04469027197521924 6.633712246321607e-07 -3.7241893312682703e-07 2.1227879188229142e-05 1.3532772982496077 -0.4469027197521924
2.4002400240024 0.1061393959411457 -0.059587029300292325 8.844949661762142e-07 -4.96558577502436e-07 2.8303838917638855e-05 1.8043697309994768 -0.5958702930029233
3.0003000300030003 0.13267424492643212 -0.0744837866253654 1.1056187077202677e-06 -6.20698221878045e-07 3.537979864704857e-05 2.255462163749346 -0.744837866253654
3.6003600360036003 0.15920909391171856 -0.08938054395043848 1.3267424492643214e-06 -7.448378662536541e-07 4.2455758376458284e-05 2.7065545964992155 -0.8938054395043848
4.2004200420042 0.185743942897005 -0.10427730127551156 1.547866190808375e-06 -8.68977510629263e-07 4.9531718105868e-05 3.157647029249085 -1.0427730127551156
4.8004800480048 0.2122787918822914 -0.11917405860058465 1.7689899323524284e-06 -9.93117155004872e-07 5.660767783527771e-05 3.6087394619989537 -1.1917405860058465
5.4005400540054005 0.23881364086757784 -0.13407081592565773 1.990113673896482e-06 -1.117256799380481e-06 6.368363756468743e-05 4.0598318947488234 -1.3407081592565773
6.0006000600060005 0.26534848985286424 -0.1489675732507308 2.2112374154405355e-06 -1.24139644375609e-06 7.075959729409714e-05 4.510924327498692 -1.489675732507308
6.600660066006601 0.29188333883815065 -0.1638643305758039 2.432361156984589e-06 -1.3655360881316992e-06 7.783555702350684e-05 4.962016760248561 -1.638643305758039
7.200720072007201 0.3184181878234371 -0.17876108790087697 2.6534848985286427e-06 -1.4896757325073081e-06 8.491151675291657e-05 5.413109192998431 -1.7876108790087697
7.800780078007801 0.3449530368087236 -0.19365784522595003 2.8746086400726966e-06 -1.6138153768829169e-06 9.198747648232629e-05 5.864201625748301 -1.9365784522595004
8.4008400840084 0.37148788579401 -0.20855460255102312 3.09573238161675e-06 -1.737955021258526e-06 9.9063436211736e-05 6.31529405849817 -2.085546025510231
9.000900090009 0.3980227347792964 -0.22345135987609618 3.3168561231608034e-06 -1.8620946656341348e-06 0.00010613939594114571 6.7663864912480385 -2.234513598760962
9.6009600960096 0.4245575837645828 -0.2383481172011693 3.537979864704857e-06 -1.986234310009744e-06 0.00011321535567055542 7.217478923997907 -2.383481172011693
10.201020102010201 0.45109243274986927 -0.2532448745262424 3.7591036062489107e-06 -2.1103739543853533e-06 0.00012029131539996514 7.668571356747777 -2.532448745262424
10.801080108010801 0.4776272817351557 -0.26814163185131545 3.980227347792964e-06 -2.234513598760962e-06 0.00012736727512937485 8.119663789497647 -2.6814163185131545
11.401140114011401 0.5041621307204421 -0.2830383891763885 4.2013510893370175e-06 -2.358653243136571e-06 0.00013444323485878456 8.570756222247516 -2.8303838917638853
12.001200120012001 0.5306969797057285 -0.2979351465014616 4.422474830881071e-06 -2.48279288751218e-06 0.00014151919458819427 9.021848654997385 -2.979351465014616
12.601260126012601 0.5572318286910151 -0.3128319038265347 4.643598572425125e-06 -2.606932531887789e-06 0.000148595154317604 9.472941087747255 -3.1283190382653467
13.201320132013201 0.5837666776763013 -0.3277286611516078 4.864722313969178e-06 -2.7310721762633983e-06 0.0001556711140470137 9.924033520497122 -3.277286611516078
13.801380138013801 0.6103015266615879 -0.3426254184766809 5.085846055513232e-06 -2.8552118206390075e-06 0.00016274707377642343 10.375125953246993 -3.4262541847668087
14.401440144014401 0.6368363756468742 -0.35752217580175394 5.3069697970572855e-06 -2.9793514650146162e-06 0.00016982303350583313 10.826218385996862 -3.5752217580175394
15.001500150015001 0.6633712246321606 -0.372418933126827 5.528093538601338e-06 -3.103491109390225e-06 0.00017689899323524282 11.27731081874673 -3.72418933126827
15.601560156015601 0.6899060736174472 -0.38731569045190006 5.749217280145393e-06 -3.2276307537658337e-06 0.00018397495296465258 11.728403251496601 -3.873156904519001
16.2016201620162 0.7164409226027334 -0.4022124477769732 5.970341021689445e-06 -3.3517703981414433e-06 0.00019105091269406224 12.179495684246469 -4.022124477769732
16.8016801680168 0.74297577158802 -0.41710920510204624 6.1914647632335e-06 -3.475910042517052e-06 0.000198126872423472 12.63058811699634 -4.171092051020462
17.4017401740174 0.7695106205733063 -0.43200596242711936 6.4125885047775526e-06 -3.600049686892661e-06 0.00020520283215288168 13.081680549746208 -4.3200596242711935
18.001800180018 0.7960454695585928 -0.44690271975219237 6.633712246321607e-06 -3.7241893312682695e-06 0.00021227879188229142 13.532772982496077 -4.469027197521924
18.6018601860186 0.8225803185438793 -0.4617994770772655 6.85483598786566e-06 -3.848328975643879e-06 0.00021935475161170113 13.983865415245948 -4.617994770772655
19.2019201920192 0.8491151675291656 -0.4766962344023386 7.075959729409714e-06 -3.972468620019488e-06 0.00022643071134111084 14.434957847995815 -4.766962344023386
19.801980198019802 0.8756500165144521 -0.49159299172741167 7.297083470953767e-06 -4.096608264395097e-06 0.00023350667107052055 14.886050280745685 -4.915929917274116
